Phase,Country,SingPost Supported,SingPost Cost (USD),DHL Supported,DHL Cost (USD),Local Shipping ,Local Cost,ISO 3166-1,,,,,,,,,,,,,,
Phase 1,Nigeria,Yes,3.2,,,,,NGA,,,,,,,,,,,,,,
Phase 1,Argentina,Yes,5.6,,,,,ARG,,,,,,,,,,,,,,
Phase 1,Brazil,Yes,5.7,,,,,BRA,,,,,,,,,,,,,,
Phase 1,Vietnam,Yes,2.4,,,,,VNM,,,,,,,,,,,,,,
Phase 1,Ukraine,Yes,5,,,,,UKR,,,,,,,,,,,,,,
Phase 1,Zimbabwe,Yes,5.8,,,,,ZWE,,,,,,,,,,,,,,
Phase 1,Philippines,Yes,2.4,,,2GO,100PHP,PHL,,,,,,,,,,,,,,
Phase 1,Ethiopia,Yes,3.2,,,,,ETH,,,,,,,,,,,,,,
Phase 1,Ghana,Yes,3.2,,,,,GHA,,,,,,,,,,,,,,
Phase 1,Uzbekistan,Yes,3,,,,,UZB,,,,,,,,,,,,,,
Phase 1,South Africa,Yes,5.5,,,,,ZAF,,,,,,,,,,,,,,
Phase 1,Colombia,Yes,5.5,,,,,COL,,,,,,,,,,,,,,
Phase 1,Kenya,Yes,3.2,,,,,KEN,,,,,,,,,,,,,,
Phase 1,Laos,Yes,2.5,,,,,LAO,,,,,,,,,,,,,,
Phase 1,Mexico,Yes,5.4,,,,,MEX,,,,,,,,,,,,,,
Phase 1,Myanmar,Yes,2.5,,,,,MMR,,,,,,,,,,,,,,
Phase 1,Namibia,Yes,3.2,,,,,NAM,,,,,,,,,,,,,,
Phase 1,Nepal,Yes,2.6,,,,,NPL,,,,,,,,,,,,,,
Phase 1,Pakistan,Yes,2.6,,,,,PAK,,,,,,,,,,,,,,
Phase 1,Sri Lanka,Yes,2.6,,,,,LKA,,,,,,,,,,,,,,
Phase 1,Turkey,Yes,5.2,,,,,TUR,,,,,,,,,,,,,,
Phase 1,Saudi Arabia,Yes,5.3,,,,,SAU,,,,,,,,,,,,,,
Phase 1,France,Yes,5.3,,,,,FRA,,,,,,,,,,,,,,
Phase 2,Algeria,Yes,5.4,,,,,DZA,,,,,,,,,,,,,,
Phase 2,Bangladesh,Yes,3.2,,,,,BGD,,,,,,,,,,,,,,
Phase 2,Bolivia,Yes,3.2,,,,,BOL,,,,,,,,,,,,,,
Phase 2,Egypt,Yes,5,,,,,EGY,,,,,,,,,,,,,,
Phase 2,India,Yes,2.6,,,,,IND,,,,,,,,,,,,,,
Phase 2,Indonesia,Yes,2.5,,,,,IDN,,,,,,,,,,,,,,
Phase 2,Morocco,Yes,5.2,,,,,MAR,,,,,,,,,,,,,,